room,specialty
165 - каб. лікаря,['Ортопедія']
872 - каб. лікаря,['Гінекологія']
337 - каб. лікаря,['Хірургія']
351 - каб. лікаря,['Педіатрія']
920 - каб. лікаря,['Ендокринологія']
369 - каб. лікаря,['Педіатрія']
335 - каб. лікаря,['Терапія']
961 - каб. лікаря,['Кардіологія']
317 - каб. лікаря,['Психіатрія']
861 - каб. лікаря,['Ендокринологія']
338 - каб. лікаря,['Педіатрія']
687 - каб. лікаря,['Дерматологія']
566 - каб. лікаря,['УЗД Філії']
436 - каб. лікаря,['Ортопедія']
254 - каб. лікаря,['Гінекологія']
186 - каб. лікаря,['Ендокринологія']
607 - каб. лікаря,['Психіатрія']
328 - каб. лікаря,['Кардіологія']
284 - каб. лікаря,['Психіатрія']
298 - каб. лікаря,['УЗД Філії']
154 - каб. лікаря,['Офтальмологія']
811 - каб. лікаря,['Неврологія']
985 - каб. лікаря,['УЗД Філії']
451 - каб. лікаря,['Неврологія']
762 - каб. лікаря,['Неврологія']
908 - каб. лікаря,['Гінекологія']
358 - каб. лікаря,['Кардіологія']
949 - каб. лікаря,['УЗД Філії']
825 - каб. лікаря,['Ендокринологія']
316 - каб. лікаря,['Кардіологія']
605 - каб. лікаря,['Психіатрія']
116 - каб. лікаря,['Психіатрія']
481 - каб. лікаря,['Кардіологія']
995 - каб. лікаря,['Педіатрія']
347 - каб. лікаря,['Гінекологія']
361 - каб. лікаря,['Кардіологія']
898 - каб. лікаря,['Неврологія']
393 - каб. лікаря,['Неврологія']
943 - каб. лікаря,['Дерматологія']
521 - каб. лікаря,['Дерматологія']
602 - каб. лікаря,['Психіатрія']
184 - каб. лікаря,['Дерматологія']
355 - каб. лікаря,['Дерматологія']
207 - каб. лікаря,['Хірургія']
765 - каб. лікаря,['Ортопедія']
820 - каб. лікаря,['Хірургія']
583 - каб. лікаря,['Хірургія']
229 - каб. лікаря,['Ендокринологія']
870 - каб. лікаря,['Гінекологія']
590 - каб. лікаря,['Гінекологія']
569 - каб. лікаря,['Ендокринологія']
142 - каб. лікаря,['Психіатрія']
790 - каб. лікаря,['Педіатрія']
643 - каб. лікаря,['Ендокринологія']
785 - каб. лікаря,['Неврологія']
639 - каб. лікаря,['Терапія']
452 - каб. лікаря,['Гінекологія']
786 - каб. лікаря,['Ендокринологія']
224 - каб. лікаря,['УЗД Філії']
490 - каб. лікаря,['Психіатрія']
910 - каб. лікаря,['Неврологія']
550 - каб. лікаря,['Гінекологія']
888 - каб. лікаря,['Педіатрія']
749 - каб. лікаря,['Ендокринологія']
744 - каб. лікаря,['Хірургія']
695 - каб. лікаря,['Педіатрія']
331 - каб. лікаря,['Педіатрія']
261 - каб. лікаря,['Дерматологія']
953 - каб. лікаря,['Дерматологія']
966 - каб. лікаря,['Гінекологія']
936 - каб. лікаря,['Терапія']
325 - каб. лікаря,['Психіатрія']
806 - каб. лікаря,['Психіатрія']
326 - каб. лікаря,['Ортопедія']
690 - каб. лікаря,['Психіатрія']
424 - каб. лікаря,['Психіатрія']
890 - каб. лікаря,['Хірургія']
276 - каб. лікаря,['Неврологія']
784 - каб. лікаря,['Терапія']
844 - каб. лікаря,['Офтальмологія']
